Rank,Races,Score
1,17,748.73
2,7,679.46
3,10,670.73
4,14,650.68
5,11,650.13
6,24,646.84
7,9,626.36
8,16,623.28
9,9,612.64
10,10,606.99
11,10,606.58
12,13,604.7
13,16,603.01
14,11,600.34
15,10,599.5
16,5,593.46
17,7,589.1
18,10,588.93
19,6,582.34
20,11,578.31
21,9,575.42
22,8,570.4
23,10,568.95
24,17,566.51
25,6,566.26
26,9,563.4
27,14,558.13
28,11,557.36
29,5,557.08
30,12,553.28
31,7,552.69
32,17,548.88
33,14,544.06
34,9,543.12
35,8,540.57
36,6,531.32
37,8,530.56
38,14,529.61
39,7,528.82
40,16,525.45
41,11,525.23
42,6,523.73
43,7,523.34
44,5,521.56
45,15,521.02
46,6,519.49
47,17,516.21
48,13,515.52
49,10,510.74
50,15,508.68
51,5,506.96
52,10,505.84
53,10,505.43
54,5,504.23
55,7,499.24
56,12,498.4
57,8,497.14
58,15,495.14
59,10,494.13
60,11,492.46
61,6,492.45
62,10,490.65
63,7,490.52
64,14,490.02
65,8,487.8
66,6,487.04
67,11,486.46
68,9,485.88
69,12,485.48
70,15,483.71
71,10,482.12
72,13,480.7
73,10,479
74,15,478.34
75,13,472.88
76,8,471.08
77,19,470.56
78,8,468.31
79,6,468.08
80,6,467.23
81,6,467.05
82,22,466.23
83,7,466.1
84,6,464.44
85,7,463.33
86,12,463.23
87,7,456.19
88,10,454.61
89,8,453.52
90,9,453.23
91,7,452.79
92,7,452.76
93,12,451.7
94,5,447.46
95,15,445.77
96,5,444.18
97,8,443.73
98,13,442.78
99,9,441.94
100,4,440.38
101,6,439.89
102,5,438.86
103,6,437.45
104,12,437.21
105,15,434.43
106,12,434.07
107,12,433.7
108,10,433.56
109,4,433.3
110,6,433.08
111,8,432.4
112,12,432.21
113,5,431.62
114,13,431.48
115,9,430.38
116,7,430.11
117,7,427.86
118,10,425.1
119,20,425.02
120,4,421.13
121,9,421.1
122,10,421.01
123,7,418.64
124,5,418.5
125,9,417.56
126,4,416.67
127,9,416.14
128,8,415.76
129,8,414.93
130,11,414.9
131,5,414.61
132,5,412.94
133,14,412.32
134,6,410.27
135,4,409.66
136,11,409.11
137,10,408.22
138,5,407.72
139,4,407.56
140,7,407.44
141,6,406.86
142,10,406.25
143,22,406.14
144,5,405.92
145,10,405.03
146,11,404.53
147,5,403.62
148,6,402.7
149,12,402.4
150,13,402.39
151,7,402.01
152,8,401.99
153,13,400.27
154,7,400.12
155,14,400.1
156,6,399.86
157,5,399.61
158,7,398.51
159,10,398.37
160,11,397.21
161,5,397.01
162,8,396.79
163,5,396.59
164,6,395.56
165,8,394.85
166,7,394.63
167,5,393.93
168,7,391.97
169,4,391.09
170,4,389.4
171,4,387.88
172,5,386.89
173,9,386.57
174,4,386.54
175,8,385.81
176,6,384.56
177,8,384.36
178,10,383.45
179,8,381.8
180,6,381.68
181,11,380
182,11,378.03
183,7,377.71
184,8,376.3
185,11,376.04
186,8,375.98
187,19,375.74
188,7,375.06
189,5,374.31
190,10,374.05
191,6,373.46
192,5,373.31
193,6,372.83
194,5,372.56
195,15,372.38
196,3,370.76
197,9,369.28
198,11,368.81
199,9,368.38
200,6,368.04
201,7,367.13
202,10,365.92
203,11,365.3
204,5,364.93
205,4,364.85
206,7,362.98
207,13,360.56
208,7,360.35
209,8,359.59
210,5,359.44
211,9,358.94
212,4,357.8
213,7,357.53
214,6,356.29
215,4,355.62
216,5,354.92
217,5,354.47
218,5,354.27
219,8,353.34
220,7,352.81
221,7,351.69
222,6,351.68
223,7,351.61
224,11,351.41
225,4,350.23
226,12,349.44
227,10,347.84
228,9,346.95
229,5,344.78
230,10,342.55
231,10,342.26
232,3,341.64
233,7,341.49
234,9,340.94
235,13,340.16
236,5,340.1
237,6,338.21
238,5,338.11
239,4,337.56
240,4,337.17
241,6,336.46
242,8,336.26
243,7,334.78
244,9,334.41
245,6,334.3
246,5,332.74
247,6,332.65
248,10,332.61
249,8,332.29
250,8,332.24
251,8,331.41
252,4,331.29
253,6,331.1
254,5,328.44
255,6,328.39
256,4,327.17
257,5,327.17
258,7,325.53
259,7,324.6
260,7,324.47
261,6,324.05
262,5,322.29
263,6,321.37
264,6,320.65
265,9,319.79
266,9,319.56
267,5,319.27
268,3,318.91
269,4,318.75
270,6,318.68
271,5,318.33
272,5,318.15
273,5,317.16
274,10,316.78
275,4,315.96
276,5,315.14
277,7,315.12
278,11,315.01
279,7,314.83
280,7,314.53
281,9,312.96
282,7,311.93
283,5,311.41
284,9,310.07
285,5,309.53
286,6,309.4
287,4,309.37
288,4,309.13
289,5,308.97
290,8,308.39
291,8,307.92
292,9,307.34
293,7,306.73
294,3,306.66
295,3,306.09
296,5,305.96
297,6,304.9
298,7,304.26
299,5,302.91
300,3,302.59
301,5,302.57
302,11,302.4
303,3,302.02
304,6,301.56
305,13,301.54
306,4,301.39
307,4,301.16
308,7,300.93
309,4,299.9
310,4,298.74
311,4,297.64
312,3,297.59
313,8,297.56
314,3,296.75
315,8,296.73
316,6,296.44
317,6,296.12
318,3,295.84
319,3,295.26
320,5,295.14
321,4,294.28
322,4,293.97
323,3,293.8
324,4,293.27
325,4,293.06
326,5,292.91
327,5,292.83
328,3,292.73
329,9,291.5
330,5,290.98
331,4,290.96
332,5,290.86
333,4,289.97
334,6,289.47
335,4,289.36
336,3,288.74
337,4,288.29
338,7,287.45
339,5,287.41
340,3,287.31
341,4,287.21
342,3,287.18
343,4,286.96
344,6,286.24
345,5,285.82
346,9,285.76
347,6,285.73
348,4,285.5
349,6,285.47
350,2,285.21
351,10,285.01
352,4,284.77
353,3,284.71
354,3,283.72
355,5,283.62
356,3,283.46
357,4,283.29
358,9,282.99
359,5,282.79
360,3,282.7
361,3,282.02
362,6,281.94
363,4,281.89
364,3,281.33
365,3,281.12
366,5,280.81
367,9,280.58
368,6,280.32
369,3,279.66
370,5,279.37
371,3,279.23
372,7,279.05
373,8,278.93
374,6,278.43
375,6,278.11
376,3,277.88
377,3,277.56
378,5,277.35
379,5,277.3
380,7,277.08
381,7,276.98
382,4,276.09
383,5,275.21
384,4,274.35
385,7,274.05
386,6,273.72
387,4,273.68
388,5,273.2
389,8,273.16
390,5,272.92
391,7,272.59
392,5,272.25
393,5,272.13
394,4,271.82
395,3,271.8
396,4,271.79
397,8,271.54
398,3,271.5
399,4,271.08
400,6,270.76
401,8,270.73
402,6,270.28
403,5,269.76
404,4,269.18
405,3,268.71
406,5,267.7
407,4,267.56
408,3,267.49
409,5,267.37
410,5,267.03
411,4,266.44
412,5,266.01
413,7,265.91
414,3,264.64
415,4,264.63
416,4,264.21
417,6,264.11
418,5,263.6
419,9,263.42
420,3,262.84
421,6,261.6
422,3,261.43
423,9,261.41
424,5,261.08
425,6,260.93
426,6,260.61
427,3,260.42
428,5,260.17
429,3,260.03
430,3,259.87
431,3,259.58
432,5,259.49
433,3,259.1
434,3,258.72
435,5,258.3
436,4,257.35
437,4,256.99
438,4,256.86
439,3,256.41
440,4,256.25
441,6,255.86
442,3,255.78
443,4,255.71
444,6,255.11
445,3,254.77
446,3,254.26
447,3,254.14
448,6,253.75
449,3,253.36
450,3,253.35
451,4,253.02
452,3,252.95
453,5,252.3
454,3,252.05
455,4,251.79
456,7,251.44
457,5,251.17
458,6,250.73
459,3,250.67
460,3,250.33
461,3,250.07
462,8,249.66
463,4,249.6
464,3,249.47
465,5,248.98
466,3,248.76
467,3,248.23
468,3,247.63
469,4,247.61
470,5,246.84
471,4,246.42
472,4,246.37
473,5,246.19
474,6,246.18
475,4,246.08
476,4,245.88
477,4,245.7
478,4,245.46
479,4,245.23
480,14,245.19
481,12,244.6
482,3,244.32
483,5,244.28
484,3,244.16
485,3,244.13
486,5,243.74
487,3,243.68
488,3,243.55
489,4,243.32
490,6,242.61
491,3,242.28
492,8,242.03
493,4,241.67
494,4,241.53
495,4,241.13
496,4,241.08
497,9,241.05
498,3,241.05
499,4,240.54
500,4,240.33
501,7,239.91
502,6,239.84
503,6,239.65
504,3,239.48
505,3,238.22
506,3,237.75
507,3,236.77
508,3,235.77
509,5,235.62
510,4,235.62
511,3,235.46
512,4,235.29
513,6,235.25
514,5,234.93
515,2,234.75
516,3,234.47
517,5,234.44
518,3,234.09
519,3,233.77
520,4,233.63
521,4,232.95
522,3,232.49
523,4,232.44
524,6,231.78
525,5,231.71
526,2,231.68
527,3,231.62
528,5,231.24
529,4,230.56
530,7,230.01
531,5,229.95
532,3,229.88
533,6,228.62
534,3,228.57
535,4,228.45
536,3,228.12
537,3,228.02
538,3,227.89
539,6,227.45
540,6,227.44
541,5,227.15
542,2,227.07
543,4,226.95
544,3,226.9
545,4,226.79
546,3,226.27
547,5,226.13
548,5,225.53
549,4,225.09
550,2,225.06
551,3,225.04
552,4,224.74
553,4,224.53
554,4,224.44
555,4,223.64
556,3,223.51
557,4,222.84
558,3,222.08
559,4,221.92
560,4,221.58
561,3,221.54
562,3,221.45
563,6,221.25
564,3,220.8
565,2,220.37
566,4,219.96
567,3,219.79
568,5,219.77
569,3,219.55
570,2,219.12
571,3,218.88
572,4,218.82
573,3,218.74
574,5,218.33
575,3,217.94
576,3,217.71
577,2,217.64
578,3,217.33
579,3,217.24
580,3,216.29
581,6,215.58
582,3,215.39
583,4,215.15
584,3,213.71
585,2,213.33
586,4,212.46
587,5,212.43
588,4,211.58
589,4,211.46
590,10,211.32
591,4,211.16
592,5,210.46
593,5,210.45
594,3,210.14
595,3,209.91
596,5,209.68
597,5,209.6
598,3,208.56
599,3,208.47
600,3,208.32
601,5,208.27
602,3,207.92
603,2,207.9
