Class,Age,Sex,Survived
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,1
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
First,Adult,Male,0
